categorie;sous_categorie
Se souvenir;Reconnaître
Se souvenir;Rappeler
Comprendre;Interpréter
Comprendre;Illustrer
Comprendre;Classer
Comprendre;Résumer
Comprendre;Inférer
Comprendre;Comparer
Comprendre;Expliquer
Appliquer;Exécuter
Appliquer;Mettre en œuvre
Analyser;Différencier
Analyser;Organiser
Analyser;Attribuer
Évaluer;Vérifier
Évaluer;Critiquer
Créer;Générer
Créer;Planifier
Créer;Produire
